title,url,publishedAt
"En direct, législatives 2024 : deux blessés après l’agression de l’équipe de campagne de Prisca Thevenot à Meudon",https://www.lemonde.fr/politique/live/2024/07/04/en-direct-legislatives-2024-deux-blesses-apres-l-agression-de-l-equipe-de-campagne-de-prisca-thevenot-a-meudon_6245747_823448.html,2024-07-04T12:12:32Z
Ponemos a prueba el reloj inteligente –o conectado– Lotus Connected D,https://www.microsiervos.com/archivo/gadgets/prueba-lotus-connected-d.html,2024-07-17T11:39:36Z
"En direct, France-Pologne : Mbappé et Barcola titulaires, Griezmann remplaçant, pour le dernier match des Bleus dans la phase de groupes",https://www.lemonde.fr/sport/live/2024/06/25/en-direct-france-pologne-suivez-le-dernier-match-des-bleus-en-phases-de-groupes-de-l-euro-2024_6243646_3242.html,2024-06-25T14:00:00Z
"France-Pologne : le résumé du match nul frustrant des Bleus, qui terminent deuxièmes de leur groupe",https://www.lemonde.fr/sport/article/2024/06/25/france-pologne-le-resume-du-match-nul-frustrant-des-bleus-qui-terminent-deuxiemes-de-leur-groupe_6243684_3242.html,2024-06-25T18:39:10Z
Deutschlandticket: Regierung äußert Verständnis für Preiserhöhung beim D-Ticket,https://www.zeit.de/news/2024-07/09/regierung-aeussert-verstaendnis-fuer-preiserhoehung-beim-d-ticket,2024-07-09T13:11:54Z
ÖPNV: Mansoori: Setze mich für Fortbestand des D-Tickets ein,https://www.zeit.de/news/2024-06/25/mansoori-setze-mich-fuer-fortbestand-des-d-tickets-ein,2024-06-25T14:19:31Z
Weekend projects: getting silly with C,https://lcamtuf.substack.com/p/weekend-projects-getting-silly-with,2024-06-30T05:07:53Z
"Podcast #1,004: The Sunscreen Debate — Are We Blocking Our Way to Better Health?",https://www.artofmanliness.com/health-fitness/health/podcast-1004-the-sunscreen-debate-are-we-blocking-our-way-to-better-health/,2024-07-08T12:57:35Z
"The Morning After: AI models from Apple, NVIDIA and more were reportedly trained on YouTube videos",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_b3aab536-debb-4884-979a-1b3ccaf3e4b1,2024-07-17T11:15:42Z
Desktop Wallpaper: July 2024 With David Mascha,https://design-milk.com/desktop-wallpaper-july-2024-with-david-mascha/,2024-07-01T14:00:26Z
We'll Have to Wait a Bit Longer for the World's Biggest Fusion Reactor,https://gizmodo.com/delay-largest-fusion-reactor-iter-tokamak-clean-energy-1851575039,2024-07-03T16:55:00Z
"In a First, Federal Regulators Ban Messaging App From Hosting Minors",https://tech.slashdot.org/story/24/07/09/2010210/in-a-first-federal-regulators-ban-messaging-app-from-hosting-minors,2024-07-09T21:40:00Z
USB And The Myth Of 500 Milliamps,https://hackaday.com/2024/07/03/usb-and-the-myth-of-500-milliamps/,2024-07-03T17:00:01Z
Orbital Mechanics and Astrodynamics,https://orbital-mechanics.space/intro.html,2024-06-28T09:12:56Z
Im Bahnhof Gare d l'Est: Französischer Soldat mit Messer attackiert,https://www.faz.net/aktuell/politik/paris-franzoesischer-soldat-mit-messer-attackiert-19858680.html,2024-07-15T21:15:18Z
Baldur's Gate 3 Won So Many Awards It Started To Cause Problems,https://kotaku.com/baldurs-gate-3-too-many-awards-winning-larian-goty-1851593323,2024-07-15T19:30:00Z
The US Navy's turning to its third carrier strike group as its warships react to Middle East conflicts with no end in sight,https://www.businessinsider.com/us-navy-third-carrier-strike-group-react-middle-east-conflict-2024-6,2024-06-26T15:55:34Z
Singapore won best first-class airline in the world for its exclusive hotel-like Airbus A380 suite. Here's what it's like inside.,https://www.businessinsider.com/singapore-airlines-first-class-suite-double-bed-is-worlds-best-2024-6,2024-06-27T13:33:52Z
Superhero series tackling knife crime and sickle cell,https://www.bbc.com/news/articles/c3gggwp74ypo,2024-06-26T02:16:29Z
